,시군구,번지,x,y,z,year
0, 서울특별시 강남구 개포동,1164-13,127.0530892,37.4732407,2422.32277526,2000
1, 서울특별시 강남구 개포동,1164-14,127.0532351,37.4733275,1936.82030036,2000
2, 서울특별시 강남구 개포동,1164-20,127.0541063,37.4739021,2244.43528442,2002
3, 서울특별시 강남구 개포동,1164-28,127.0551887,37.4745812,1848.91958909,2001
4, 서울특별시 강남구 개포동,1164-7,127.0523738,37.4727746,1898.7658439,2001
5, 서울특별시 강남구 개포동,12,127.0750977,37.4939654,4805.36089028,1992
6, 서울특별시 강남구 개포동,12-2,127.0767362,37.4960876,2979.42170104,2004
7, 서울특별시 강남구 개포동,1260-11,127.0489038,37.4793154,1926.81007229,2006
8, 서울특별시 강남구 개포동,138,127.067294,37.4841132,7921.53843629,1982
9, 서울특별시 강남구 개포동,141,127.0614839,37.478368,7700.2883754,1982
10, 서울특별시 강남구 개포동,177,127.0609236,37.4878994,3619.10609254,1986
11, 서울특별시 강남구 개포동,179,127.0625135,37.4881707,3797.01042583,1987
12, 서울특별시 강남구 개포동,185,127.071487,37.4888326,5065.45910048,1983
13, 서울특별시 강남구 개포동,187,127.0686558,37.4875354,5067.83103661,1983
14, 서울특별시 강남구 개포동,189,127.0714351,37.4855371,7208.68797089,1982
15, 서울특별시 강남구 개포동,649,127.054267,37.4843872,3611.06203505,1984
16, 서울특별시 강남구 개포동,651-1,127.0571779,37.4848024,3445.49160408,1991
17, 서울특별시 강남구 개포동,652,127.0561699,37.4839447,3303.58056473,1984
18, 서울특별시 강남구 개포동,653,127.0544891,37.4825481,3326.51941508,1984
19, 서울특별시 강남구 개포동,654,127.0513673,37.482369,3665.50858987,1986
20, 서울특별시 강남구 개포동,655-1,127.0526666,37.4816442,3378.95377129,1986
21, 서울특별시 강남구 개포동,655-2,127.052897,37.4813054,3373.42765273,1988
22, 서울특별시 강남구 개포동,655-3,127.0532554,37.4810335,1964.52681969,1995
23, 서울특별시 강남구 개포동,656,127.0542624,37.4785609,6672.65370672,1984
24, 서울특별시 강남구 개포동,658-1,127.0567424,37.4762642,3980.62557961,1987
25, 서울특별시 강남구 논현동,103,127.0379979,37.5196689,2652.24060906,1996
26, 서울특별시 강남구 논현동,105,127.0366998,37.5193601,3495.95472802,1985
27, 서울특별시 강남구 논현동,105-3,127.0374942,37.5187232,2464.88407072,2002
28, 서울특별시 강남구 논현동,105-4,127.037115,37.5206817,2850.40858982,2004
29, 서울특별시 강남구 논현동,107-44,127.0373364,37.517802,2486.62386303,2002
30, 서울특별시 강남구 논현동,108,127.0380027,37.5184174,2632.70918898,2009
31, 서울특별시 강남구 논현동,108-2,127.0379207,37.5180203,2259.99252895,2004
32, 서울특별시 강남구 논현동,114-23,127.0368595,37.5171457,2168.55363714,2009
33, 서울특별시 강남구 논현동,122-25,127.0243029,37.510383,2149.85491194,1996
34, 서울특별시 강남구 논현동,180-6,127.0280399,37.507516,1682.35294118,2004
35, 서울특별시 강남구 논현동,192-1,127.0324786,37.5081832,1818.28906124,2004
36, 서울특별시 강남구 논현동,192-3,127.0328405,37.5081015,2131.32400431,2004
37, 서울특별시 강남구 논현동,194-23,127.0307946,37.5074711,2601.09160112,2006
38, 서울특별시 강남구 논현동,195-1,127.0289875,37.5066597,2622.46300201,2005
39, 서울특별시 강남구 논현동,196,127.0276384,37.5062954,2601.74855732,1996
40, 서울특별시 강남구 논현동,196-4,127.0283866,37.5065989,2014.66024175,2006
41, 서울특별시 강남구 논현동,205-2,127.0303436,37.5067547,3049.09856657,2005
42, 서울특별시 강남구 논현동,212-13,127.0340836,37.5134549,3142.14154889,2007
43, 서울특별시 강남구 논현동,212-20,127.0340921,37.5129702,1881.38852343,2003
44, 서울특별시 강남구 논현동,214-2,127.032682,37.5125829,2093.28871188,2002
45, 서울특별시 강남구 논현동,215-14,127.032252,37.5124235,1745.29763222,2003
46, 서울특별시 강남구 논현동,216-1,127.0323585,37.5121468,2089.21679093,2004
47, 서울특별시 강남구 논현동,22,127.0227423,37.5146969,3349.20552853,1997
48, 서울특별시 강남구 논현동,221-7,127.0334919,37.5096909,4437.929058,2013
49, 서울특별시 강남구 논현동,229-13,127.0340901,37.5092605,2136.45835518,2005
50, 서울특별시 강남구 논현동,241-1,127.0404191,37.5164665,2725.31280544,2007
51, 서울특별시 강남구 논현동,245,127.0380907,37.5145526,4074.68447743,2004
52, 서울특별시 강남구 논현동,252-1,127.0386984,37.5133862,3151.50426873,2004
53, 서울특별시 강남구 논현동,258,127.0383688,37.5125374,3135.94322389,2004
54, 서울특별시 강남구 논현동,261,127.0362884,37.5115897,1916.39688015,1997
55, 서울특별시 강남구 논현동,261-8,127.0367685,37.5115504,1821.26650587,1997
56, 서울특별시 강남구 논현동,268-12,127.0428171,37.5112481,2828.60725822,2004
57, 서울특별시 강남구 논현동,271-6,127.0402036,37.511208,2049.42762589,2002
58, 서울특별시 강남구 논현동,274,127.0381352,37.5106451,2657.69911504,1996
59, 서울특별시 강남구 논현동,275,127.0375793,37.5102504,3109.35588865,2003
60, 서울특별시 강남구 논현동,276-1,127.0315341,37.5135304,4584.96637231,2014
61, 서울특별시 강남구 논현동,46-2,127.0228893,37.5132249,1833.85917109,2003
62, 서울특별시 강남구 논현동,46-3,127.0229548,37.5130561,2252.79271825,2003
63, 서울특별시 강남구 논현동,47-11,127.0226133,37.5128739,1924.56301804,2004
64, 서울특별시 강남구 논현동,55,127.0239347,37.5124262,2689.95031784,2004
65, 서울특별시 강남구 논현동,58-2,127.0289671,37.5138229,3378.55310851,2004
66, 서울특별시 강남구 논현동,62-3,127.0326528,37.5205398,2619.56528546,1976
67, 서울특별시 강남구 논현동,79-5,127.0313011,37.5165056,1704.82724417,1998
68, 서울특별시 강남구 논현동,79-7,127.0312903,37.5169037,1902.75387263,1998
69, 서울특별시 강남구 논현동,80-13,127.0305634,37.5161661,2311.34969325,2004
70, 서울특별시 강남구 대치동,1007-1,127.0666999,37.5045985,2932.6931471,2004
71, 서울특별시 강남구 대치동,1007-2,127.0666699,37.5041928,2771.23974527,2004
72, 서울특별시 강남구 대치동,1009-4,127.0680804,37.501544,6402.31239827,2011
73, 서울특별시 강남구 대치동,1014-3,127.0588507,37.4965682,4220.31495191,2000
